City,Rank,State,Growth From 2000 to 2013,Population,Coordinates
Mansfield,799,Ohio,-10.1,46454,40.75839
Binghamton,800,New York,-1.7,46444,42.0986867
Coeur d'Alene,801,Idaho,32.8,46402,47.6776832
San Luis Obispo,802,California,4.4,46377,35.2827524
Minot,803,North Dakota,26.6,46321,48.2329668
Palm Springs,804,California,7.7,46281,33.8302961
Pine Bluff,805,Arkansas,-16.2,46094,34.2284312
Texas City,806,Texas,10.3,46081,29.383845
Summerville,807,South Carolina,62.9,46074,33.0185039
Twin Falls,808,Idaho,31.5,45981,42.5629668
Jeffersonville,809,Indiana,53.3,45929,38.2775702
San Jacinto,810,California,91.8,45851,33.7839084
Madison,811,Alabama,53.7,45799,34.6992579
Altoona,812,Pennsylvania,-7.3,45796,40.5186809
Columbus,813,Indiana,16.4,45775,39.2014404
Beavercreek,814,Ohio,19,45712,39.7092262
Apopka,815,Florida,63.9,45587,28.6934076
Elmhurst,816,Illinois,5.7,45556,41.8994744
Maricopa,817,Arizona,2503.4,45508,33.0581063
Farmington,818,New Mexico,18.1,45426,36.7280583
Glenview,819,Illinois,5.2,45417,42.0697509
Cleveland Heights,820,Ohio,-10.3,45394,41.5200518
Draper,821,Utah,77.4,45285,40.5246711
Lincoln,822,California,285.2,45237,38.891565
Sierra Vista,823,Arizona,19.3,45129,31.5455001
Lacey,824,Washington,41.7,44919,47.0342629
